Ejercicio;Brand;Ind;Cantidad Total;Source;Cantidad de países en los que opera ;Qué muestra?;Check;Observaciones;;;;
2008;Inditex;t;4264;"Memoria Anual Inditex, 2010, ""Pág. 14""";Cantidad Total de Tiendas;Inversión;;;;;;
2007;Inditex;t;3691;"Memoria Anual Inditex, 2010, ""Pág. 14""";Cantidad Total de Tiendas;Inversión;;;;;;
2006;Inditex;t;3131;"Memoria Anual Inditex, 2010, ""Pág. 14""";Cantidad Total de Tiendas;Inversión;;;;;;
2005;Inditex;t;2692;"Memoria Anual Inditex, 2006, ""Pág. 40""";Cantidad Total de Tiendas;Inversión;;ok;;;;
2004;Inditex;t;2244;"Memoria Anual Inditex, 2006, ""Pág. 40""";Cantidad Total de Tiendas;Inversión;;;;;;
2003;Inditex;t;1922;"Memoria Anual Inditex, 2006, ""Pág. 40""";Cantidad Total de Tiendas;Inversión;;;;;;
2002;Inditex;t;1558;"Memoria Anual Inditex, 2003, ""Pág. 9""";Cantidad Total de Tiendas;Inversión;;;;;;
2001;Inditex;t;1284;"Memoria Anual Inditex, 2001. ""Pág. 7""";Cantidad Total de Tiendas;Inversión;;;;;;
2000;Inditex;t;1080;"Memoria Anual Inditex, 2001. ""Pág. 7""";Cantidad Total de Tiendas;Inversión;;;;;;
1999;Inditex;t;922;"Memoria Anual Inditex, 2001. ""Pág. 7""";Cantidad Total de Tiendas;Inversión;;;;;;
1998;Inditex;t;748;"Memoria Anual Inditex, 2001. ""Pág. 7""";Cantidad Total de Tiendas;Inversión;;;;;;
1997;Inditex;t;622;"Memoria Anual Inditex, 2001. ""Pág. 7""";Cantidad Total de Tiendas;Inversión;;;;;;
1996;Inditex;t;541;"Memoria Anual Inditex, 2001. ""Pág. 7""";Cantidad Total de Tiendas;Inversión;;;;;;
2020;Inditex;vsup;;;superficie total de venta ;;;;;;;
2019;Inditex;vsup;;;superficie total de venta ;;;;;;;
2018;Inditex;vsup;4962081;Memoria Anual Inditex 2018, Pág. 364;superficie total de venta ;;ok;;;;;
2017;Inditex;vsup;4739427;Memoria Anual Inditex 2018, Pág. 364;superficie total de venta ;;ok;;;;;
2016;Inditex;vsup;4410896;Memoria Anual Inditex 2017, Pág. 324;superficie total de venta ;;ok;;;;;
2015;Inditex;vsup;4086904;Memoria Anual Inditex 2015, Pág.224;superficie total de venta ;;ok;;;;;
2014;Inditex;vsup;3786099;Memoria Anual Inditex 2015, Pág.224;superficie total de venta ;;ok;;;;;
2013;Inditex;vsup;3441969;Memoria Anual Inditex 2013, Pág.223;superficie total de venta ;;ok;;;;;
2012;Inditex;vsup;3161448;Memoria Anual Inditex 2013, Pág.223;superficie total de venta ;;ok;;;;;
2011;Inditex;vsup;2838980;Memoria Anual Inditex 2011, Pág. 155;superficie total de venta ;;ok;;;;;
2010;Inditex;vsup;2587648;Memoria Anual Inditex 2011, Pág. 155;superficie total de venta ;;ok;;;;;
2009;Inditex;vsup;2348709;Memoria Anual Inditex 2010, Pág. 194;superficie total de venta ;;ok;;;;;
2008;Inditex;vsup;2180889;Memoria Anual Inditex 2008, Pág. 272;superficie total de venta ;;ok;;;;;
2007;Inditex;vsup;1914493;Memoria Anual Inditex 2008, Pág. 272;superficie total de venta ;;ok;;;;;
2006;Inditex;vsup;1657299;Informe Económico-FinancieroInditex 2006, Pág. 149;superficie total de venta ;;ok;;;;;
2005;Inditex;vsup;1434752;Informe Económico-FinancieroInditex 2006, Pág. 149;superficie total de venta ;;ok;;;;;
2004;Inditex;vsup;1175070;Informe Anual Inditex 2004, Pág. 76;superficie total de venta ;;ok;;;;;
2003;Inditex;vsup;988357;Informe Anual Inditex 2004, Pág. 76;superficie total de venta ;;ok;;;;;
2002;Inditex;vsup;791900;Memoria Anual Inditex, 2002, Pág. 10;superficie total de venta ;;ok;;;;;
2001;Inditex;vsup;659400;Informe Anual Inditex 2001, Pág. 66;superficie total de venta ;;ok;;;;;
2020;Inditex;pr;;;Prendas puestas en el mercado;Producción;;;;;;
2019;Inditex;pr;;;Prendas puestas en el mercado;Producción;;;;;;
2018;Inditex;pr;1597260495;Memoria Anual Inditex, 2018;Prendas puestas en el mercado;Producción;;;;;;
2017;Inditex;pr;1550152707;Memoria Anual Inditex, 2019;Prendas puestas en el mercado;Producción;;;;;;
2016;Inditex;pr;1382359590;Memoria Anual Inditex, 2017;Prendas puestas en el mercado;Producción;;;;;;
2015;Inditex;pr;1177784343;Memoria Anual Inditex, 2015;Prendas puestas en el mercado;Producción;;;;;;
